Item,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead
,,2,,0,,https://store.ui.com/collections/operator-airmax-devices/products/rocket-m2,
,,1,,0,,https://store.ui.com/collections/operator-airmax-and-ltu-antennas/products/2ghz-airmax-basestation-15dbi-120-deg-rocket-kit,
,,1,,0,,https://store.ui.com/collections/operator-airmax-and-ltu-antennas/products/2-4ghz-airmax-omni-13dbi-rocket-kit,
