Item,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead,,,,,,
P-16 Linear Acuator 50mm 256:1,,1,90,90,Actuonix,https://www.actuonix.com/P16-P-Linear-Actuator-p/p16-p.htm,Chris,Status,,,,,
P-16 Linear Acuator 100mm 256:1,,2,90,180,Actuonix,https://www.actuonix.com/P16-P-Linear-Actuator-p/p16-p.htm,Yash,Ordered ,Yes,,,Items Total ,390
Linear Actuator Control Board,,3,40,120,Actuonix,https://www.actuonix.com/LAC-Board-p/lac.htm,Yash,,,,,Shipping ,0
,,,,,,,,Estimated Delivery,,,,Total ,390
,,,,,,,,Shipped ,No,,,,
,,,,,,,,Shipping Number ,,,,,
,,,,,,,,Picked Up,No,,,,
