Item,Item Number ,Quantity ,Unit Price ,Total Price ,Supplier ,URL,Subteam Lead,,,,,,
NEO Drive Motors,,6,$45,$270,REV Robotics,https://www.revrobotics.com/rev-21-1650/,Matyas,Status,,,,,
Spark MAX Motor Controllers,,6,$80,$480,REV Robotics,https://www.revrobotics.com/rev-11-2158/,Matyas,Ordered ,No,,,Items Total ,$750
,,,,,,,,,,,,Shipping ,0
,,,,,,,,Estimated Delivery,,,,Total ,$750
,,,,,,,,Shipped ,No,,,,
,,,,,,,,Shipping Number ,,,,,
,,,,,,,,Picked Up,No,,,,
